id,qname,heading,text,type,diagram,website,updated
,Organization,Organization,An organization.,Class,http://xmlns.com/foaf/0.1/diagrams/Organization.dot.svg,http://xmlns.com/foaf/0.1/Organization,2026-07-23T18:31:51.924316
,Agent,Agent,"An agent (eg. person, group, software or physical artifact).",Class,http://xmlns.com/foaf/0.1/diagrams/Agent.dot.svg,http://xmlns.com/foaf/0.1/Agent,2026-07-23T18:31:51.924316
,OnlineChatAccount,OnlineChatAccount,An online chat account.,Class,http://xmlns.com/foaf/0.1/diagrams/OnlineChatAccount.dot.svg,http://xmlns.com/foaf/0.1/OnlineChatAccount,2026-07-23T18:31:51.924316
,LabelProperty,LabelProperty,A foaf:LabelProperty is any RDF property with texual values that serve as labels.,Class,http://xmlns.com/foaf/0.1/diagrams/LabelProperty.dot.svg,http://xmlns.com/foaf/0.1/LabelProperty,2026-07-23T18:31:51.924316
,Project,Project,A project (a collective endeavour of some kind).,Class,http://xmlns.com/foaf/0.1/diagrams/Project.dot.svg,http://xmlns.com/foaf/0.1/Project,2026-07-23T18:31:51.924316
,Group,Group,A class of Agents.,Class,http://xmlns.com/foaf/0.1/diagrams/Group.dot.svg,http://xmlns.com/foaf/0.1/Group,2026-07-23T18:31:51.924316
,OnlineGamingAccount,OnlineGamingAccount,An online gaming account.,Class,http://xmlns.com/foaf/0.1/diagrams/OnlineGamingAccount.dot.svg,http://xmlns.com/foaf/0.1/OnlineGamingAccount,2026-07-23T18:31:51.924316
,Person,Person,A person.,Class,http://xmlns.com/foaf/0.1/diagrams/Person.dot.svg,http://xmlns.com/foaf/0.1/Person,2026-07-23T18:31:51.924316
,PersonalProfileDocument,PersonalProfileDocument,A personal profile RDF document.,Class,http://xmlns.com/foaf/0.1/diagrams/PersonalProfileDocument.dot.svg,http://xmlns.com/foaf/0.1/PersonalProfileDocument,2026-07-23T18:31:51.924316
,OnlineAccount,OnlineAccount,An online account.,Class,http://xmlns.com/foaf/0.1/diagrams/OnlineAccount.dot.svg,http://xmlns.com/foaf/0.1/OnlineAccount,2026-07-23T18:31:51.924316
,Image,Image,An image.,Class,http://xmlns.com/foaf/0.1/diagrams/Image.dot.svg,http://xmlns.com/foaf/0.1/Image,2026-07-23T18:31:51.924316
,OnlineEcommerceAccount,OnlineEcommerceAccount,An online e-commerce account.,Class,http://xmlns.com/foaf/0.1/diagrams/OnlineEcommerceAccount.dot.svg,http://xmlns.com/foaf/0.1/OnlineEcommerceAccount,2026-07-23T18:31:51.924316
,Document,Document,A document.,Class,http://xmlns.com/foaf/0.1/diagrams/Document.dot.svg,http://xmlns.com/foaf/0.1/Document,2026-07-23T18:31:51.924316
